Cell ID, Nucelus x, Nucleus y, Nucelus Area, Cell Area, Center of area x, Center of area y
1, 1005, 1027, 2, 2, 1005, 1027
2, 1012, 1037, 4, 4, 1012, 1037
3, 1036, 1021, 2, 2, 1036, 1021
4, 1016, 1022, 1, 1, 1016, 1022
5, 1025, 1006, 3, 3, 1025, 1006
6, 1027, 1031, 2, 2, 1027, 1031
7, 1028, 1010, 2, 2, 1028, 1010
8, 1026, 1014, 3, 3, 1026, 1014
9, 1021, 1032, 1, 6, 1008, 1028
10, 1017, 1017, 4, 4, 1017, 1017
11, 1023, 1016, 2, 2, 1023, 1016
12, 1012, 1022, 2, 2, 1012, 1022
13, 1018, 1028, 1, 1, 1018, 1028
14, 1027, 1044, 1, 1, 1027, 1044
15, 1030, 1010, 1, 11, 1014, 1034
16, 1016, 1036, 2, 8, 1032, 1025
17, 1036, 1018, 1, 1, 1036, 1018
18, 1019, 1027, 2, 2, 1019, 1027
19, 1029, 1025, 2, 4, 1022, 1024
20, 1024, 1030, 2, 9, 1024, 1012
21, 1040, 1022, 1, 1, 1040, 1022
22, 1022, 1024, 2, 2, 1022, 1024
23, 1032, 1038, 3, 3, 1032, 1038
24, 1028, 1017, 1, 1, 1028, 1017
25, 1034, 1015, 3, 3, 1034, 1015
26, 1029, 1009, 3, 3, 1029, 1009
27, 1011, 1027, 2, 2, 1011, 1027
28, 1028, 1027, 2, 4, 1026, 1020
29, 1015, 1014, 2, 2, 1015, 1014
30, 1026, 1038, 1, 1, 1026, 1038
31, 1029, 1030, 4, 4, 1029, 1030
32, 1020, 1025, 3, 3, 1020, 1025
33, 1041, 1011, 5, 5, 1041, 1011
34, 1024, 1036, 1, 1, 1024, 1036
35, 1019, 1018, 1, 1, 1019, 1018
36, 1033, 1032, 1, 6, 1019, 1019
37, 1018, 1019, 1, 1, 1018, 1019
38, 1014, 1041, 2, 2, 1014, 1041
39, 1010, 1030, 2, 2, 1010, 1030
40, 1030, 1026, 3, 3, 1030, 1026
41, 1024, 1042, 3, 4, 1020, 1037
42, 1014, 1034, 2, 2, 1014, 1034
43, 1024, 1029, 1, 1, 1024, 1029
44, 1020, 1030, 2, 2, 1020, 1030
45, 1008, 1021, 2, 2, 1008, 1021
46, 1014, 1023, 3, 3, 1014, 1023
47, 1034, 1027, 1, 1, 1034, 1027
48, 1010, 1019, 2, 2, 1010, 1019
49, 1027, 1014, 1, 1, 1027, 1014
50, 1037, 1015, 1, 1, 1037, 1015
51, 1021, 1016, 2, 2, 1021, 1016
52, 1026, 1016, 2, 2, 1026, 1016
53, 1024, 1038, 3, 3, 1024, 1038
54, 1017, 1021, 3, 3, 1017, 1021
55, 1018, 1034, 2, 3, 1017, 1033
56, 1027, 1038, 3, 3, 1027, 1038
57, 1036, 1036, 3, 3, 1036, 1036
58, 1022, 1043, 4, 4, 1022, 1043
59, 1012, 1021, 1, 1, 1012, 1021
60, 1032, 1026, 4, 4, 1032, 1026
61, 1030, 1011, 1, 1, 1030, 1011
62, 1020, 1037, 4, 4, 1020, 1037
63, 1028, 1043, 3, 3, 1028, 1043
64, 1039, 1017, 4, 4, 1039, 1017
65, 1021, 1029, 2, 2, 1021, 1029
66, 1023, 1020, 1, 2, 1024, 1031
67, 1030, 1043, 4, 6, 1031, 1032
68, 1012, 1020, 1, 1, 1012, 1020
69, 1019, 1022, 5, 5, 1019, 1022
70, 1009, 1042, 3, 3, 1009, 1042
71, 1028, 1006, 4, 4, 1028, 1006
72, 1016, 1040, 5, 5, 1016, 1040
73, 1045, 1014, 4, 4, 1045, 1014
74, 1025, 1036, 1, 5, 1018, 1037
75, 1016, 1034, 3, 8, 1029, 1024
76, 1032, 1035, 3, 7, 1025, 1030
77, 1036, 1024, 3, 3, 1036, 1024
78, 1038, 1028, 3, 3, 1038, 1028
79, 1038, 1042, 2, 6, 1031, 1030
80, 1038, 1035, 5, 5, 1038, 1035
81, 1026, 1026, 2, 2, 1026, 1026
82, 1018, 1040, 2, 7, 1034, 1027
83, 1032, 1043, 3, 4, 1030, 1038
84, 1019, 1042, 5, 5, 1019, 1042
