Cell ID, Nucelus x, Nucleus y, Nucelus Area, Cell Area, Center of area x, Center of area y
1, 1024, 1013, 4, 9, 1024, 1013
2, 1021, 1022, 2, 2, 1021, 1022
3, 1015, 1024, 3, 3, 1015, 1024
4, 1031, 1025, 2, 2, 1031, 1025
5, 1031, 1017, 1, 9, 1021, 1020
6, 1020, 1031, 1, 1, 1020, 1031
7, 1019, 1034, 3, 10, 1017, 1027
8, 1025, 1019, 2, 2, 1025, 1019
9, 1019, 1026, 1, 1, 1019, 1026
10, 1021, 1035, 1, 1, 1021, 1035
11, 1022, 1039, 3, 3, 1022, 1039
12, 1023, 1035, 1, 1, 1023, 1035
13, 1017, 1027, 3, 3, 1017, 1027
14, 1023, 1022, 3, 3, 1023, 1022
15, 1028, 1026, 3, 3, 1028, 1026
16, 1021, 1030, 3, 3, 1021, 1030
17, 1024, 1023, 1, 1, 1024, 1023
18, 1025, 1024, 1, 5, 1029, 1018
19, 1025, 1038, 3, 3, 1025, 1038
20, 1030, 1026, 4, 4, 1030, 1026
21, 1020, 1025, 2, 4, 1020, 1028
22, 1033, 1022, 2, 2, 1033, 1022
23, 1027, 1020, 1, 1, 1027, 1020
24, 1023, 1026, 1, 1, 1023, 1026
25, 1017, 1031, 3, 3, 1017, 1031
26, 1022, 1014, 4, 4, 1022, 1014
27, 1026, 1021, 3, 9, 1021, 1030
28, 1032, 1027, 3, 7, 1029, 1022
29, 1027, 1030, 2, 2, 1027, 1030
30, 1030, 1019, 2, 2, 1030, 1019
31, 1021, 1032, 3, 3, 1021, 1032
32, 1031, 1028, 2, 2, 1031, 1028
33, 1031, 1022, 3, 3, 1031, 1022
34, 1025, 1027, 2, 4, 1023, 1032
35, 1033, 1025, 4, 4, 1033, 1025
36, 1028, 1022, 3, 3, 1028, 1022
37, 1024, 1028, 2, 2, 1024, 1028
38, 1032, 1018, 3, 6, 1025, 1023
39, 1021, 1037, 3, 3, 1021, 1037
40, 1026, 1034, 4, 6, 1024, 1030
41, 1034, 1024, 4, 4, 1034, 1024
