Cell ID, Nucelus x, Nucleus y, Nucelus Area, Cell Area, Center of area x, Center of area y
1, 1023, 1004, 4, 4, 1023, 1004
2, 1031, 1008, 5, 5, 1031, 1008
3, 1038, 1022, 1, 1, 1038, 1022
4, 1031, 1038, 1, 1, 1031, 1038
5, 1025, 1010, 4, 11, 1024, 1006
6, 1015, 1017, 2, 2, 1015, 1017
7, 1012, 1043, 1, 1, 1012, 1043
8, 1013, 1032, 2, 2, 1013, 1032
9, 1022, 1032, 2, 2, 1022, 1032
10, 1013, 1024, 3, 3, 1013, 1024
11, 1025, 1039, 3, 3, 1025, 1039
12, 1026, 1006, 2, 2, 1026, 1006
13, 1016, 1039, 2, 2, 1016, 1039
14, 1039, 1037, 2, 2, 1039, 1037
15, 1035, 1035, 4, 7, 1033, 1023
16, 1029, 1043, 2, 2, 1029, 1043
17, 1032, 1018, 3, 3, 1032, 1018
18, 1023, 1016, 4, 4, 1023, 1016
19, 1024, 1027, 1, 1, 1024, 1027
20, 1003, 1017, 1, 1, 1003, 1017
21, 1025, 1051, 3, 7, 1033, 1035
22, 1022, 1026, 1, 1, 1022, 1026
23, 1006, 1027, 3, 6, 1018, 1033
24, 1017, 1024, 3, 3, 1017, 1024
25, 1016, 1031, 4, 4, 1016, 1031
26, 1034, 1021, 2, 6, 1028, 1014
27, 1015, 1010, 3, 3, 1015, 1010
28, 1019, 1016, 3, 3, 1019, 1016
29, 1034, 1012, 2, 4, 1024, 1015
30, 1014, 1043, 1, 1, 1014, 1043
31, 1011, 1016, 3, 3, 1011, 1016
32, 1023, 1033, 1, 1, 1023, 1033
33, 1016, 1026, 4, 4, 1016, 1026
34, 1032, 1011, 1, 1, 1032, 1011
35, 1029, 1010, 4, 4, 1029, 1010
36, 1010, 1025, 2, 2, 1010, 1025
37, 1010, 1027, 3, 3, 1010, 1027
38, 1041, 1012, 3, 4, 1034, 1020
39, 1010, 1042, 2, 2, 1010, 1042
40, 1016, 1042, 1, 1, 1016, 1042
41, 1033, 1041, 2, 2, 1033, 1041
42, 1031, 1026, 1, 6, 1015, 1030
43, 1042, 1019, 2, 2, 1042, 1019
44, 1007, 1047, 1, 1, 1007, 1047
45, 1023, 1008, 3, 3, 1023, 1008
46, 1020, 1034, 3, 8, 1016, 1027
47, 1034, 1017, 4, 4, 1034, 1017
48, 1024, 1018, 3, 3, 1024, 1018
49, 1021, 1041, 1, 1, 1021, 1041
50, 1038, 1042, 1, 1, 1038, 1042
51, 1017, 1040, 2, 2, 1017, 1040
52, 1035, 1043, 1, 1, 1035, 1043
53, 1035, 1020, 1, 1, 1035, 1020
54, 1015, 1011, 1, 1, 1015, 1011
55, 1038, 1028, 3, 3, 1038, 1028
56, 1014, 1026, 2, 6, 1022, 1035
57, 1018, 1042, 3, 3, 1018, 1042
58, 1006, 1012, 1, 1, 1006, 1012
59, 1012, 1044, 2, 2, 1012, 1044
60, 1019, 1026, 2, 2, 1019, 1026
61, 1021, 1042, 3, 3, 1021, 1042
62, 1046, 1011, 2, 2, 1046, 1011
63, 1029, 1022, 2, 2, 1029, 1022
64, 1029, 1018, 2, 2, 1029, 1018
65, 1013, 1044, 1, 1, 1013, 1044
66, 1045, 1013, 2, 2, 1045, 1013
67, 1047, 1013, 2, 2, 1047, 1013
68, 1048, 1014, 2, 2, 1048, 1014
69, 1032, 1009, 3, 3, 1032, 1009
70, 1036, 1014, 1, 1, 1036, 1014
71, 1011, 1022, 3, 5, 1017, 1015
72, 1042, 1015, 2, 2, 1042, 1015
73, 1028, 1007, 2, 2, 1028, 1007
74, 1035, 1037, 2, 2, 1035, 1037
75, 1029, 1025, 2, 2, 1029, 1025
76, 1032, 1047, 3, 3, 1032, 1047
77, 1030, 1031, 1, 1, 1030, 1031
78, 1025, 1045, 2, 2, 1025, 1045
79, 1023, 1023, 3, 7, 1032, 1031
80, 1006, 1040, 2, 10, 1031, 1036
81, 1015, 1022, 3, 3, 1015, 1022
82, 1038, 1012, 3, 3, 1038, 1012
83, 1003, 1018, 5, 12, 1019, 1032
84, 1030, 1050, 5, 5, 1030, 1050
85, 1030, 1032, 2, 2, 1030, 1032
86, 1039, 1009, 2, 2, 1039, 1009
87, 1033, 1030, 3, 3, 1033, 1030
88, 1036, 1030, 3, 6, 1033, 1024
89, 1008, 1021, 4, 4, 1008, 1021
90, 1040, 1028, 3, 13, 1027, 1018
