Cell ID, Nucelus x, Nucleus y, Nucelus Area, Cell Area, Center of area x, Center of area y
1, 1022, 1027, 1, 8, 1019, 1029
2, 1022, 1021, 2, 2, 1022, 1021
3, 1021, 1027, 4, 4, 1021, 1027
4, 1024, 1030, 4, 4, 1024, 1030
5, 1021, 1029, 2, 2, 1021, 1029
6, 1022, 1033, 4, 4, 1022, 1033
7, 1027, 1027, 1, 1, 1027, 1027
8, 1025, 1028, 2, 2, 1025, 1028
9, 1028, 1026, 4, 10, 1024, 1023
10, 1022, 1028, 2, 8, 1020, 1027
11, 1023, 1026, 1, 3, 1025, 1029
12, 1023, 1032, 3, 3, 1023, 1032
13, 1026, 1029, 1, 1, 1026, 1029
14, 1024, 1034, 3, 5, 1023, 1033
15, 1023, 1020, 2, 6, 1027, 1026
16, 1023, 1029, 2, 3, 1024, 1028
17, 1028, 1028, 3, 14, 1027, 1025
18, 1025, 1018, 4, 4, 1025, 1018
