Cell ID, Nucelus x, Nucleus y, Nucelus Area, Cell Area, Center of area x, Center of area y
1, 1015, 1027, 3, 5, 1013, 1031
2, 1015, 1018, 2, 7, 1015, 1024
3, 1009, 1034, 2, 5, 1013, 1024
4, 1026, 1047, 3, 3, 1026, 1047
5, 1019, 1030, 3, 3, 1019, 1030
6, 1029, 1035, 3, 3, 1029, 1035
7, 1022, 1041, 2, 2, 1022, 1041
8, 1014, 1022, 2, 2, 1014, 1022
9, 1030, 1027, 2, 2, 1030, 1027
10, 1035, 1020, 4, 4, 1035, 1020
11, 1019, 1020, 2, 6, 1012, 1029
12, 1024, 1043, 2, 2, 1024, 1043
13, 1027, 1049, 2, 5, 1026, 1047
14, 1016, 1040, 1, 1, 1016, 1040
15, 1023, 1030, 4, 4, 1023, 1030
16, 1033, 1045, 4, 4, 1033, 1045
17, 1024, 1015, 1, 3, 1020, 1025
18, 1011, 1034, 3, 3, 1011, 1034
19, 1024, 1032, 1, 1, 1024, 1032
20, 1035, 1049, 5, 14, 1031, 1041
21, 1015, 1036, 1, 1, 1015, 1036
22, 1035, 1033, 2, 2, 1035, 1033
23, 1036, 1037, 3, 3, 1036, 1037
24, 1039, 1027, 1, 1, 1039, 1027
25, 1029, 1034, 3, 4, 1027, 1036
26, 1023, 1042, 3, 3, 1023, 1042
27, 1030, 1017, 2, 2, 1030, 1017
28, 1037, 1042, 3, 4, 1031, 1037
29, 1026, 1024, 2, 2, 1026, 1024
30, 1031, 1056, 1, 1, 1031, 1056
31, 1015, 1038, 3, 6, 1024, 1033
32, 1014, 1029, 3, 10, 1029, 1023
33, 1014, 1021, 3, 3, 1014, 1021
34, 1031, 1048, 3, 3, 1031, 1048
35, 1023, 1038, 3, 3, 1023, 1038
36, 1020, 1023, 4, 6, 1020, 1022
37, 1032, 1026, 4, 4, 1032, 1026
38, 1028, 1033, 2, 2, 1028, 1033
39, 1038, 1025, 2, 2, 1038, 1025
40, 1027, 1020, 5, 5, 1027, 1020
41, 1032, 1033, 2, 2, 1032, 1033
42, 1033, 1049, 3, 7, 1029, 1049
43, 1017, 1025, 2, 5, 1017, 1034
44, 1024, 1024, 4, 4, 1024, 1024
45, 1028, 1054, 2, 2, 1028, 1054
46, 1029, 1045, 3, 9, 1025, 1034
47, 1017, 1032, 3, 3, 1017, 1032
48, 1012, 1036, 3, 7, 1023, 1042
49, 1026, 1030, 4, 4, 1026, 1030
50, 1038, 1035, 3, 3, 1038, 1035
51, 1043, 1027, 1, 1, 1043, 1027
52, 1028, 1041, 4, 4, 1028, 1041
53, 1033, 1052, 2, 2, 1033, 1052
54, 1025, 1045, 2, 2, 1025, 1045
55, 1027, 1025, 1, 2, 1025, 1020
56, 1046, 1027, 4, 4, 1046, 1027
