Cell ID, Nucelus x, Nucleus y, Nucelus Area, Cell Area, Center of area x, Center of area y
1, 1030, 1011, 1, 1, 1030, 1011
2, 1027, 1053, 1, 1, 1027, 1053
3, 1030, 1059, 2, 2, 1030, 1059
4, 995, 1033, 1, 1, 995, 1033
5, 1029, 1038, 2, 2, 1029, 1038
6, 1050, 1030, 1, 1, 1050, 1030
7, 1035, 1009, 2, 2, 1035, 1009
8, 990, 1045, 2, 2, 990, 1045
9, 1026, 1023, 2, 2, 1026, 1023
10, 1009, 1002, 1, 1, 1009, 1002
11, 1033, 1040, 4, 4, 1033, 1040
12, 1000, 1048, 2, 2, 1000, 1048
13, 1005, 1017, 4, 4, 1005, 1017
14, 1035, 1025, 2, 2, 1035, 1025
15, 1011, 1039, 2, 2, 1011, 1039
16, 1023, 1055, 3, 3, 1023, 1055
17, 1011, 1012, 1, 1, 1011, 1012
18, 1057, 1037, 1, 1, 1057, 1037
19, 1017, 1008, 3, 5, 1008, 1017
20, 1015, 1000, 3, 3, 1015, 1000
21, 1004, 1029, 2, 2, 1004, 1029
22, 1014, 1049, 1, 1, 1014, 1049
23, 1038, 1008, 2, 2, 1038, 1008
24, 1032, 1032, 3, 3, 1032, 1032
25, 1014, 1029, 2, 2, 1014, 1029
26, 1040, 1021, 3, 3, 1040, 1021
27, 1059, 1035, 2, 2, 1059, 1035
28, 1046, 1036, 2, 4, 1037, 1036
29, 1035, 1046, 1, 1, 1035, 1046
30, 1020, 1026, 1, 1, 1020, 1026
31, 1007, 1005, 5, 5, 1007, 1005
32, 1033, 1067, 1, 1, 1033, 1067
33, 1017, 1006, 3, 3, 1017, 1006
34, 1018, 1059, 2, 2, 1018, 1059
35, 1009, 1044, 2, 2, 1009, 1044
36, 1000, 1039, 1, 1, 1000, 1039
37, 1037, 1057, 2, 2, 1037, 1057
38, 1048, 1036, 2, 4, 1049, 1032
39, 1039, 1037, 2, 2, 1039, 1037
40, 1016, 1053, 4, 4, 1016, 1053
41, 1004, 1055, 3, 11, 1027, 1021
42, 1032, 1037, 2, 2, 1032, 1037
43, 1036, 1026, 2, 5, 1008, 1037
44, 1054, 1034, 4, 4, 1054, 1034
45, 1038, 1040, 3, 3, 1038, 1040
46, 1017, 1026, 3, 3, 1017, 1026
47, 1005, 1042, 3, 3, 1005, 1042
48, 1018, 1021, 1, 1, 1018, 1021
49, 1042, 1016, 1, 1, 1042, 1016
50, 1016, 1041, 1, 1, 1016, 1041
51, 1023, 1063, 2, 2, 1023, 1063
52, 1047, 1051, 4, 4, 1047, 1051
53, 1017, 1009, 2, 2, 1017, 1009
54, 1042, 1040, 3, 5, 1035, 1033
55, 1033, 1018, 1, 1, 1033, 1018
56, 1053, 1032, 4, 4, 1053, 1032
57, 1049, 1037, 1, 1, 1049, 1037
58, 1040, 1014, 1, 1, 1040, 1014
59, 1042, 1056, 3, 3, 1042, 1056
60, 1029, 1039, 2, 2, 1029, 1039
61, 1034, 1055, 1, 2, 1021, 1028
62, 1015, 1057, 1, 1, 1015, 1057
63, 1031, 1020, 1, 1, 1031, 1020
64, 1043, 1060, 3, 6, 1038, 1051
65, 1055, 1026, 2, 2, 1055, 1026
66, 1023, 1029, 2, 2, 1023, 1029
67, 994, 1040, 3, 3, 994, 1040
68, 1002, 1028, 2, 2, 1002, 1028
69, 1024, 1046, 2, 2, 1024, 1046
70, 993, 1042, 4, 4, 993, 1042
71, 1019, 1062, 2, 3, 1013, 1058
72, 1037, 1059, 3, 3, 1037, 1059
73, 1027, 1024, 3, 3, 1027, 1024
74, 1033, 1047, 1, 9, 1008, 1020
75, 1048, 1049, 3, 3, 1048, 1049
76, 1023, 1001, 1, 1, 1023, 1001
77, 1028, 1042, 3, 3, 1028, 1042
78, 1011, 1055, 2, 2, 1011, 1055
79, 1039, 1031, 3, 3, 1039, 1031
80, 1041, 1066, 5, 5, 1041, 1066
81, 1030, 1070, 4, 6, 1023, 1059
82, 1022, 1061, 3, 7, 1022, 1057
83, 995, 1035, 2, 2, 995, 1035
84, 1037, 1013, 1, 1, 1037, 1013
85, 1010, 1032, 1, 1, 1010, 1032
86, 1037, 1011, 4, 4, 1037, 1011
87, 1037, 1037, 4, 4, 1037, 1037
88, 1045, 1040, 1, 1, 1045, 1040
89, 1021, 1033, 1, 1, 1021, 1033
90, 1007, 1047, 1, 1, 1007, 1047
91, 1048, 1058, 3, 3, 1048, 1058
92, 1011, 1049, 3, 7, 1011, 1028
93, 1027, 1035, 2, 8, 1048, 1036
94, 1024, 1026, 2, 2, 1024, 1026
95, 1020, 1035, 1, 1, 1020, 1035
96, 1013, 1036, 1, 1, 1013, 1036
97, 1011, 1024, 5, 5, 1011, 1024
98, 1031, 1056, 2, 2, 1031, 1056
99, 1013, 1042, 2, 2, 1013, 1042
100, 1044, 1052, 3, 3, 1044, 1052
101, 1039, 1016, 2, 2, 1039, 1016
102, 1043, 1030, 4, 4, 1043, 1030
103, 1008, 1014, 1, 5, 1014, 1010
104, 1039, 1061, 4, 4, 1039, 1061
105, 1015, 1051, 2, 2, 1015, 1051
106, 1057, 1020, 1, 4, 1026, 1004
107, 1042, 1023, 2, 2, 1042, 1023
108, 1035, 1046, 3, 3, 1035, 1046
109, 1032, 1068, 3, 3, 1032, 1068
110, 1029, 1051, 1, 5, 1010, 1034
111, 1023, 1073, 2, 2, 1023, 1073
112, 1027, 1045, 2, 2, 1027, 1045
113, 1028, 1057, 3, 3, 1028, 1057
114, 1036, 1030, 3, 3, 1036, 1030
115, 1058, 1028, 1, 1, 1058, 1028
116, 1039, 1035, 2, 2, 1039, 1035
117, 1023, 1037, 1, 1, 1023, 1037
118, 1061, 1020, 3, 3, 1061, 1020
119, 1011, 1023, 2, 2, 1011, 1023
120, 997, 1035, 2, 2, 997, 1035
121, 1015, 997, 3, 4, 1015, 1010
122, 1034, 1071, 2, 2, 1034, 1071
123, 1012, 1024, 1, 1, 1012, 1024
124, 1039, 1018, 2, 2, 1039, 1018
125, 1026, 1028, 2, 2, 1026, 1028
